18,47,220:1
160,61,170:2
38,221,198:3
239,88,205:4
194,36,227:2
88,176,86:5
0,8,125:6
198,13,29:7
207,107,210:4
161,20,11:7
33,66,72:8
251,18,130:4
132,28,11:9
99,105,49:10
64,166,232:3
27,160,86:11
35,253,153:12
128,143,60:10
251,244,17:13
222,19,152:4
10,193,229:3
110,93,25:10
133,210,124:11
236,110,55:14
68,169,109:8
72,166,130:8
83,172,119:8
108,31,130:2
58,11,220:1
106,161,13:15
78,43,192:2
239,141,180:4
245,214,108:16
7,159,21:5
59,209,46:17
9,12,6:18
235,137,96:19
33,88,22:20
232,200,197:21
233,245,118:22
56,83,135:6
129,47,255:23
65,27,182:2
70,3,209:2
168,248,140:12
252,123,41:14
36,118,99:8
54,17,61:24
157,53,210:2
6,3,172:25
14,62,230:25
196,61,58:7
66,181,233:3
55,166,59:5
218,217,127:22
77,123,197:26
148,3,243:23
139,49,90:27
158,50,105:27
49,161,88:5
159,79,154:2
135,224,87:17
150,188,170:11
119,66,182:2
220,194,153:21
84,130,12:5
49,230,32:17
246,127,131:28
167,7,82:29
78,181,11:17
219,192,231:23
161,45,124:29
54,24,134:6
57,207,24:17
103,92,246:26
77,252,252:3
57,234,0:17
130,213,76:17
198,134,71:14
73,112,154:30
75,98,41:10
197,47,127:29
84,222,96:17
126,133,51:10
228,146,8:14
5,175,1:5
161,186,43:13
143,222,97:17
87,146,21:5
187,79,217:2
136,151,162:31
83,194,162:32
219,240,202:22
203,208,153:22
254,116,240:4
177,178,97:22
251,231,83:22
198,98,97:28
155,41,151:2
200,161,144:33
